iter	Passed	Remaining
205	412	1588
206	413	1583
207	414	1579
208	416	1576
209	417	1572
210	419	1567
211	420	1563
212	423	1566
213	425	1562
214	426	1558
215	428	1554
216	429	1550
217	431	1546
218	432	1542
219	433	1537
220	435	1533
221	438	1537
222	440	1535
223	442	1532
224	444	1531
225	446	1528
226	448	1525
227	449	1522
228	453	1528
229	455	1525
230	457	1523
231	459	1520
232	460	1516
233	462	1513
234	463	1510
235	466	1509
236	468	1507
237	470	1504
238	471	1502
239	473	1498
240	474	1494
241	475	1490
242	477	1488
243	481	1491
244	483	1488
245	484	1485
246	486	1481
247	487	1478
248	489	1476
249	491	1473
250	494	1474
251	495	1472
252	497	1468
253	499	1466
254	500	1463
255	502	1459
256	503	1455
257	504	1452
258	507	1450
259	509	1449
260	511	1447
261	512	1444
262	514	1440
263	515	1436
264	516	1432
265	517	1429
266	519	1425
267	522	1427
268	524	1424
269	525	1422
270	527	1419
271	528	1415
272	530	1412
273	531	1408
274	532	1405
275	534	1401
276	537	1402
277	538	1399
278	540	1396
279	541	1392
280	542	1388
281	543	1385
282	545	1381
283	546	1377
284	548	1375
285	551	1375
286	552	1372
287	554	1369
288	555	1366
289	556	1363
290	558	1360
291	559	1356
292	560	1353
293	563	1352
294	565	1351
295	567	1348
296	568	1346
297	570	1344
298	571	1340
299	573	1337
300	574	1334
301	577	1335
302	582	1340
303	584	1338
304	586	1335
305	587	1332
306	589	1329
307	592	1330
308	593	1327
309	595	1324
310	596	1321
311	597	1318
312	599	1315
313	600	1312
314	602	1309
315	603	1306
316	606	1306
317	608	1304
318	609	1301
319	611	1298
320	612	1295
321	614	1293
322	615	1290
323	616	1287
324	618	1283
325	621	1285
326	623	1283
327	624	1280
328	626	1277
329	627	1273
330	628	1270
331	630	1267
332	631	1264
333	632	1261
334	636	1262
335	637	1259
336	638	1256
337	640	1254
338	641	1250
339	642	1247
340	644	1244
341	645	1241
342	649	1243
343	650	1240
344	651	1237
345	653	1234
346	654	1231
347	655	1228
348	656	1225
349	658	1222
350	659	1219
351	660	1216
352	662	1214
353	664	1212
354	665	1209
355	667	1206
356	668	1204
357	669	1201
358	671	1198
359	672	1195
360	673	1192
361	676	1191
362	677	1189
363	678	1186
364	680	1183
365	681	1180
366	682	1177
367	683	1174
368	685	1171
369	686	1168
370	687	1166
371	690	1165
372	691	1162
373	693	1160
374	694	1157
375	695	1154
376	697	1151
377	698	1149
378	699	1146
379	701	1144
380	705	1146
381	707	1144
382	709	1142
383	711	1140
384	712	1138
385	714	1135
386	715	1133
387	717	1131
388	719	1130
389	721	1128
390	722	1125
391	725	1124
392	726	1122
393	727	1119
394	729	1117
395	730	1114
396	734	1115
397	735	1112
398	737	1110
399	738	1108
400	740	1106
401	742	1103
402	743	1101
403	748	1104
404	752	1105
405	753	1102
406	792	1154
407	804	1166
408	806	1165
409	816	1174
410	818	1173
411	821	1172
412	823	1170
413	849	1202
414	851	1200
415	854	1199
416	864	1208
417	867	1207
418	872	1209
419	881	1217
420	883	1215
421	886	1214
422	896	1222
423	898	1220
424	900	1218
425	906	1222
426	910	1221
427	914	1221
428	919	1224
429	923	1224
430	925	1222
431	928	1220
432	936	1226
433	941	1227
434	944	1226
435	953	1233
436	956	1232
437	960	1232
438	976	1247
439	987	1256
440	989	1254
441	991	1251
442	1003	1261
443	1004	1258
444	1006	1255
445	1012	1257
446	1014	1254
447	1016	1252
448	1018	1249
449	1020	1247
450	1026	1248
451	1027	1246
452	1030	1244
453	1032	1241
454	1033	1238
455	1036	1236
456	1045	1242
457	1060	1254
458	1062	1252
459	1066	1252
460	1071	1252
461	1077	1254
462	1083	1256
463	1090	1259
464	1093	1257
465	1103	1264
466	1108	1265
467	1117	1270
468	1133	1282
469	1141	1287
470	1182	1328
471	1207	1350
472	1220	1359
473	1225	1359
474	1230	1360
475	1243	1368
476	1248	1368
477	1255	1371
478	1261	1371
479	1270	1376
480	1275	1376
481	1285	1381
482	1290	1381
483	1300	1386
484	1308	1388
485	1324	1400
486	1338	1409
487	1350	1416
488	1368	1429
489	1378	1434
490	1381	1431
491	1384	1429
492	1391	1431
493	1394	1427
494	1395	1423
495	1397	1420
496	1399	1416
497	1405	1417
498	1408	1413
499	1411	1411
500	1413	1407
501	1416	1405
502	1421	1404
503	1423	1400
504	1426	1398
505	1428	1395
506	1435	1395
507	1438	1393
508	1440	1389
509	1442	1385
510	1451	1388
511	1453	1385
512	1457	1383
513	1460	1381
514	1463	1378
515	1466	1375
516	1467	1371
517	1469	1367
518	1471	1363
519	1476	1363
520	1480	1360
521	1483	1358
522	1485	1354
523	1496	1359
524	1499	1356
525	1513	1363
526	1516	1361
527	1523	1361
528	1531	1363
529	1541	1367
530	1544	1363
531	1546	1360
532	1555	1363
533	1562	1363
534	1573	1367
535	1575	1363
536	1579	1361
537	1583	1359
538	1586	1356
539	1598	1362
540	1601	1359
541	1607	1358
542	1611	1356
543	1614	1353
544	1624	1356
545	1626	1352
546	1629	1349
547	1638	1351
548	1652	1357
549	1655	1354
550	1668	1359
551	1673	1358
552	1687	1363
553	1689	1360
554	1699	1363
555	1702	1359
556	1705	1356
557	1713	1357
558	1715	1353
559	1724	1355
560	1729	1353
561	1750	1363
562	1778	1380
563	1791	1384
564	1806	1390
565	1818	1394
566	1823	1392
567	1826	1388
568	1837	1391
569	1850	1395
570	1855	1393
571	1865	1395
572	1870	1393
573	1913	1420
574	1919	1418
575	1930	1421
576	1934	1418
577	1946	1420
578	1948	1416
579	1951	1413
580	1955	1410
581	1958	1406
582	1964	1404
583	1966	1400
584	1974	1400
585	1978	1397
586	1982	1394
587	1986	1391
588	1988	1387
589	1991	1383
590	1994	1379
591	1997	1376
592	2001	1373
593	2002	1368
594	2004	1364
595	2007	1360
596	2008	1355
597	2010	1351
598	2012	1346
599	2014	1343
600	2018	1339
601	2019	1335
602	2021	1330
603	2025	1328
604	2030	1325
605	2032	1321
606	2034	1317
607	2036	1312
608	2038	1308
609	2039	1304
610	2041	1299
611	2044	1296
612	2046	1291
613	2048	1287
614	2050	1283
615	2051	1279
616	2053	1274
617	2055	1270
618	2057	1266
619	2059	1262
620	2061	1258
621	2063	1254
622	2065	1249
623	2067	1245
624	2070	1242
625	2073	1238
626	2075	1234
627	2077	1230
628	2080	1226
629	2081	1222
630	2085	1219
631	2087	1215
632	2090	1211
633	2092	1207
634	2093	1203
635	2095	1199
636	2097	1195
637	2099	1191
638	2101	1187
639	2103	1183
640	2106	1179
641	2108	1175
642	2110	1172
643	2115	1169
644	2117	1165
645	2119	1161
646	2121	1157
647	2123	1153
648	2128	1150
649	2130	1146
650	2131	1142
651	2133	1138
652	2135	1134
653	2137	1130
654	2138	1126
655	2140	1122
656	2142	1118
657	2144	1114
658	2145	1110
659	2147	1106
660	2149	1102
661	2150	1098
662	2152	1094
663	2157	1091
664	2159	1087
665	2162	1084
666	2164	1080
667	2165	1076
668	2167	1072
669	2170	1068
670	2172	1065
671	2173	1061
672	2175	1057
673	2177	1053
674	2178	1049
675	2180	1045
676	2181	1040
677	2184	1037
678	2186	1033
679	2187	1029
680	2189	1025
681	2190	1021
682	2192	1017
683	2193	1013
684	2195	1009
685	2196	1005
686	2199	1001
687	2200	998
688	2204	995
689	2206	991
690	2208	987
691	2210	983
692	2213	980
693	2215	976
694	2217	973
695	2219	969
696	2220	965
697	2222	961
698	2223	957
699	2226	954
700	2228	950
701	2230	946
702	2232	943
703	2233	939
704	2235	935
705	2236	931
706	2242	929
707	2247	927
708	2250	923
709	2252	920
710	2254	916
711	2257	913
712	2259	909
713	2261	905
714	2262	901
715	2264	898
716	2265	894
717	2267	890
718	2268	886
719	2271	883
720	2272	879
721	2274	875
722	2275	871
723	2277	868
724	2278	864
725	2280	860
726	2281	856
727	2282	852
728	2285	849
729	2286	845
730	2288	842
731	2289	838
732	2291	834
733	2292	830
734	2294	827
735	2295	823
736	2296	819
737	2299	816
738	2301	812
739	2302	809
740	2304	805
741	2305	801
742	2306	797
743	2308	794
744	2309	790
745	2311	786
746	2314	783
747	2315	780
748	2317	776
749	2319	773
750	2320	769
751	2322	765
752	2323	762
753	2325	758
754	2327	755
755	2329	751
756	2331	748
757	2332	744
758	2334	741
759	2335	737
760	2337	734
761	2338	730
762	2340	726
763	2342	723
764	2344	720
765	2345	716
766	2347	713
767	2348	709
768	2350	705
769	2351	702
770	2353	698
771	2355	695
772	2357	692
773	2359	688
774	2361	685
775	2362	682
776	2364	678
777	2365	675
778	2367	671
779	2370	668
780	2372	665
781	2374	661
782	2375	658
783	2377	655
784	2379	651
785	2380	648
786	2382	644
787	2385	641
788	2387	638
789	2389	635
790	2391	631
791	2392	628
792	2394	625
793	2395	621
794	2398	618
795	2400	615
796	2401	611
797	2403	608
798	2406	605
799	2407	601
800	2409	598
801	2412	595
802	2414	592
803	2415	588
804	2417	585
805	2419	582
806	2420	578
807	2422	575
808	2423	572
809	2426	569
810	2428	566
811	2430	562
812	2432	559
813	2433	556
814	2435	552
815	2436	549
816	2438	546
817	2442	543
818	2443	540
819	2446	537
820	2448	533
821	2449	530
822	2451	527
823	2452	523
824	2454	520
825	2457	517
826	2458	514
827	2461	511
828	2462	508
829	2464	504
830	2466	501
831	2471	498
832	2474	496
833	2477	493
834	2479	489
835	2481	486
836	2484	483
837	2486	480
838	2487	477
839	2489	474
840	2491	470
841	2492	467
842	2494	464
843	2498	461
844	2500	458
845	2501	455
846	2503	452
847	2505	449
848	2506	445
849	2508	442
850	2511	439
851	2513	436
852	2516	433
853	2518	430
854	2520	427
855	2522	424
856	2525	421
857	2526	418
858	2528	415
859	2530	411
860	2531	408
861	2533	405
862	2535	402
863	2537	399
864	2539	396
865	2541	393
866	2543	390
867	2544	387
868	2546	383
869	2548	380
870	2549	377
871	2551	374
872	2554	371
873	2555	368
874	2557	365
875	2559	362
876	2560	359
877	2562	356
878	2563	352
879	2565	349
880	2567	346
881	2569	343
882	2571	340
883	2573	337
884	2574	334
885	2576	331
886	2577	328
887	2579	325
888	2581	322
889	2584	319
890	2585	316
891	2587	313
892	2589	310
893	2591	307
894	2593	304
895	2596	301
896	2597	298
897	2599	295
898	2601	292
899	2602	289
900	2604	286
901	2605	283
902	2607	280
903	2609	277
904	2611	274
905	2613	271
906	2614	268
907	2616	265
908	2618	262
909	2619	259
910	2621	256
911	2624	253
912	2626	250
913	2627	247
914	2629	244
915	2631	241
916	2633	238
917	2635	235
918	2637	232
919	2640	229
920	2642	226
921	2643	223
922	2645	220
923	2646	217
924	2648	214
925	2649	211
926	2653	208
927	2656	206
928	2657	203
929	2659	200
930	2661	197
931	2662	194
932	2664	191
933	2666	188
934	2668	185
935	2670	182
936	2671	179
937	2673	176
938	2675	173
939	2677	170
940	2678	167
941	2681	165
942	2682	162
943	2684	159
944	2686	156
945	2688	153
946	2689	150
947	2691	147
948	2693	144
949	2695	141
950	2697	138
951	2698	136
952	2700	133
953	2702	130
954	2704	127
955	2706	124
956	2707	121
957	2710	118
958	2712	115
959	2713	113
960	2715	110
961	2717	107
962	2718	104
963	2720	101
964	2722	98
965	2724	95
966	2726	93
967	2728	90
968	2730	87
969	2731	84
970	2733	81
971	2735	78
972	2737	75
973	2739	73
974	2740	70
975	2742	67
976	2743	64
977	2745	61
978	2747	58
979	2748	56
980	2750	53
981	2753	50
982	2755	47
983	2756	44
984	2758	42
985	2759	39
986	2761	36
987	2762	33
988	2764	30
989	2766	27
990	2768	25
991	2770	22
992	2772	19
993	2773	16
994	2775	13
995	2776	11
996	2778	8
997	2780	5
998	2782	2
999	2783	0
